Acmaea_depicta	Acmaea_sp	Acteon_punctocaelatus	Acteocina_culcitella	Bulla_gouldiana	Cerithidea_californica	Conus_californicus	Crepidula_lingulata	Crepidula_nummaria	Crepidula_onyx	Epitonium_cooperi	Haliotus_sp	Haminoea_vesicula	Haminoea_virescens	Jaton_festivus	Lacuna_unifasciata	Limnaea_sp	Littorina_sp	Lunatia_lewisii	Margarites_parcipictus	Melampus_olivaceus	Mitrella_carinata	Olivella_biplicata	Olivella_diegoensis	Nassarius_tegulus	Polinices_reclusianus	Pyramidella_sp	Rissoina_sp	Tricolia_compta	Nassarius_perpinguis	Nassarius_mendicus	Nassarius_fossatus	terrestrial_sp	Pecten_circularis	Chione_californiensis	Chione_fluctifraga	Chione_undatella	Clinocardium_nuttallii	Cooperella_subdiaphana	Cryptomya_californica	Cumingia_californica	Diplodonta_orbella	Donax_californica	Donax_gouldii	Heterodonax_bimaculatus	Laevicardium_substriatum	Leptopecten_latiauratus	Lucinisca_nuttallii	Lyonsia_californica	Macoma_irus	Macoma_nasuta	Macoma_secta	Mactra_californica	Mytilus_edulis	Nuculana_sp	Ostrea_lurida	Parvilucina_sp	Petricola_sp	Protothaca_staminea	Psammotreta_biangulata	Rochefortia_sp	Sanguinolaria_nuttallii	Saxidomus_nuttalli	Semele_incongrua	Spisula_dolabriformis	Tagelus_californianus	Tellina_carpenteri	Tellina_idae	Tellina_modesta	Thracia_sp	Tivela_stultorum	Tresus_nuttallii	Zirfaea_pilsbryi	Hemigrapsus_oregonensis	crab_parts	barnacle_fragments	Callianassa_spp	Lytechinus_pictus	Dendraster_excentricus	bryozoan_fragments	worm_tubes_calc	worm_tubes_sand	worm_tubes_clear	worm_tubes_gravel	worm_tubes_mud	Pectenaria_sp	vertebrata_teeth	vertebrata_bones
site_35	0	0	9	0	34	1	0	0	0	0	0	0	3	10	0	0	5	4	1	0	14	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	3	0	8	17	0	7	0	0	0	0	343	21	0	8	1	0	0	64	13	0	16	0	0	4	1	0	2	999	0	0	7	0	999	999	0	0	999	0	0	1
site_37	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	6	0	0	0	999	0	0	0	9999	999	0	0	0	0	0	0	0
site_38	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	14	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	20	0	0	0	0	0	0	0	0	0	2	0	0	0	999	0	0	5	999	0	999	0	0	0	0	0	0
site_39	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	10	0	0	2	0	0	0	3	18	0	0	0	0	0	0	15	14	0	157	1	0	0	5	0	0	0	0	1	8	0	0	0	999	0	0	3	0	999	0	0	0	0	0	0	0
site_40	0	0	0	0	13	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	6	0	1	0	12	0	0	0	0	0	0	3	3	0	0	0	0	0	0	6	14	0	184	0	0	0	1	0	0	0	0	6	7	0	0	0	0	0	0	8	999	0	0	0	999	0	0	0	0
site_41	0	0	0	0	21	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	6	0	4	0	0	0	0	6	1	0	0	0	0	0	0	14	15	0	104	1	0	0	11	0	0	0	0	7	0	0	0	0	999	0	0	3	999	0	999	0	0	0	0	0	0
site_42	2	0	0	0	10	248	0	0	0	0	0	0	39	2	0	0	1	0	0	0	18	8	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	0	1	64	4	0	0	3	24	4	7	0	0	0	247	37	0	1	0	2	0	0	230	1	0	3	4	0	0	166	37	0	4	0	0	0	0	0	6	0	0	0	7	999	0	999	999	0	0	0	0	1
site_43	0	0	0	0	5	885	1	1	0	0	0	0	3	0	0	0	0	4	0	0	21	0	0	0	0	0	0	0	5	0	0	0	0	6	4	0	6	0	0	101	1	0	4	3	10	6	2	0	0	2	414	23	0	4	0	0	0	0	289	0	0	11	4	0	0	156	18	0	0	0	0	0	3	0	13	999	0	0	2	0	9999	999	999	0	999	0	0	1
site_44	0	0	0	0	4	766	0	0	0	0	0	0	1	2	0	0	0	0	0	0	19	0	0	0	0	0	0	0	20	0	0	0	0	0	1	0	0	0	0	46	1	0	0	0	0	9	9	0	0	3	266	15	0	1	0	0	0	0	50	0	0	2	3	0	0	124	43	0	0	0	0	1	0	0	15	0	0	0	0	0	0	999	999	0	0	0	0	1
site_45	0	0	0	0	2	73	0	0	0	0	0	0	5	1	0	0	0	1	0	0	2	2	0	0	0	1	0	0	7	0	2	0	0	5	0	0	0	0	0	90	2	0	1	1	1	3	1	0	0	0	38	0	0	0	0	5	0	0	12	0	0	1	0	0	0	164	10	0	0	0	0	0	0	0	11	0	0	0	2	0	0	0	0	0	0	0	0	0
